Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10029-45446,10029,6/3/2024,10:57 AM,9:44 PM,Carol,Ramos
10029-45447,10029,6/4/2024,10:38 AM,8:56 PM,Carol,Ramos
10029-45448,10029,6/5/2024,8:02 AM,3:06 PM,Carol,Ramos
10029-45449,10029,6/6/2024,8:56 AM,5:22 PM,Carol,Ramos
10029-45450,10029,6/7/2024,9:56 AM,8:35 PM,Carol,Ramos
10029-45453,10029,6/10/2024,9:09 AM,5:05 PM,Carol,Ramos
10029-45454,10029,6/11/2024,9:43 AM,7:23 PM,Carol,Ramos
10029-45455,10029,6/12/2024,8:37 AM,4:08 PM,Carol,Ramos
10029-45456,10029,6/13/2024,8:06 AM,5:03 PM,Carol,Ramos
10029-45457,10029,6/14/2024,8:06 AM,6:49 PM,Carol,Ramos
10029-45460,10029,6/17/2024,8:39 AM,6:38 PM,Carol,Ramos
10029-45461,10029,6/18/2024,10:38 AM,8:05 PM,Carol,Ramos
10029-45462,10029,6/19/2024,9:01 AM,6:37 PM,Carol,Ramos
10029-45463,10029,6/20/2024,9:39 AM,7:01 PM,Carol,Ramos
10029-45464,10029,6/21/2024,9:35 AM,5:33 PM,Carol,Ramos
10029-45467,10029,6/24/2024,8:59 AM,6:52 PM,Carol,Ramos
10029-45468,10029,6/25/2024,8:13 AM,6:46 PM,Carol,Ramos
10029-45469,10029,6/26/2024,9:50 AM,5:12 PM,Carol,Ramos
10029-45470,10029,6/27/2024,10:07 AM,6:35 PM,Carol,Ramos
10029-45471,10029,6/28/2024,8:51 AM,4:45 PM,Carol,Ramos
10029-45474,10029,7/1/2024,10:30 AM,7:43 PM,Carol,Ramos
10029-45475,10029,7/2/2024,9:14 AM,6:06 PM,Carol,Ramos
10029-45476,10029,7/3/2024,10:37 AM,8:59 PM,Carol,Ramos
10029-45477,10029,7/4/2024,9:36 AM,8:20 PM,Carol,Ramos
10029-45478,10029,7/5/2024,8:28 AM,6:12 PM,Carol,Ramos
10029-45481,10029,7/8/2024,10:35 AM,8:30 PM,Carol,Ramos
10029-45482,10029,7/9/2024,8:50 AM,7:31 PM,Carol,Ramos
10029-45483,10029,7/10/2024,10:00 AM,8:44 PM,Carol,Ramos
10029-45484,10029,7/11/2024,8:08 AM,4:00 PM,Carol,Ramos
10029-45485,10029,7/12/2024,8:08 AM,4:20 PM,Carol,Ramos
10029-45488,10029,7/15/2024,9:55 AM,8:45 PM,Carol,Ramos
10029-45489,10029,7/16/2024,10:27 AM,7:15 PM,Carol,Ramos
10029-45490,10029,7/17/2024,9:53 AM,6:26 PM,Carol,Ramos
10029-45491,10029,7/18/2024,9:23 AM,7:28 PM,Carol,Ramos
10029-45492,10029,7/19/2024,9:02 AM,5:44 PM,Carol,Ramos
10029-45495,10029,7/22/2024,10:03 AM,8:28 PM,Carol,Ramos
