Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10020-45446,10020,6/3/2024,8:47 AM,4:27 PM,Mark,Bautista
10020-45447,10020,6/4/2024,9:05 AM,6:27 PM,Mark,Bautista
10020-45448,10020,6/5/2024,10:42 AM,9:00 PM,Mark,Bautista
10020-45449,10020,6/6/2024,8:39 AM,5:39 PM,Mark,Bautista
10020-45450,10020,6/7/2024,8:45 AM,5:21 PM,Mark,Bautista
10020-45453,10020,6/10/2024,10:10 AM,6:23 PM,Mark,Bautista
10020-45454,10020,6/11/2024,9:59 AM,5:53 PM,Mark,Bautista
10020-45455,10020,6/12/2024,8:50 AM,4:42 PM,Mark,Bautista
10020-45456,10020,6/13/2024,10:17 AM,6:23 PM,Mark,Bautista
10020-45457,10020,6/14/2024,8:53 AM,6:16 PM,Mark,Bautista
10020-45460,10020,6/17/2024,8:05 AM,6:31 PM,Mark,Bautista
10020-45461,10020,6/18/2024,10:17 AM,5:37 PM,Mark,Bautista
10020-45462,10020,6/19/2024,10:03 AM,8:37 PM,Mark,Bautista
10020-45463,10020,6/20/2024,8:27 AM,5:42 PM,Mark,Bautista
10020-45464,10020,6/21/2024,10:42 AM,7:02 PM,Mark,Bautista
10020-45467,10020,6/24/2024,9:42 AM,7:21 PM,Mark,Bautista
10020-45468,10020,6/25/2024,10:16 AM,7:52 PM,Mark,Bautista
10020-45469,10020,6/26/2024,10:45 AM,9:11 PM,Mark,Bautista
10020-45470,10020,6/27/2024,9:58 AM,5:12 PM,Mark,Bautista
10020-45471,10020,6/28/2024,8:30 AM,4:54 PM,Mark,Bautista
10020-45474,10020,7/1/2024,10:08 AM,6:48 PM,Mark,Bautista
10020-45475,10020,7/2/2024,9:58 AM,8:23 PM,Mark,Bautista
10020-45476,10020,7/3/2024,10:16 AM,7:25 PM,Mark,Bautista
10020-45477,10020,7/4/2024,8:29 AM,5:51 PM,Mark,Bautista
10020-45478,10020,7/5/2024,8:19 AM,3:50 PM,Mark,Bautista
10020-45481,10020,7/8/2024,9:22 AM,7:09 PM,Mark,Bautista
10020-45482,10020,7/9/2024,9:23 AM,5:32 PM,Mark,Bautista
10020-45483,10020,7/10/2024,10:55 AM,7:37 PM,Mark,Bautista
10020-45484,10020,7/11/2024,9:04 AM,5:14 PM,Mark,Bautista
10020-45485,10020,7/12/2024,10:30 AM,6:43 PM,Mark,Bautista
10020-45488,10020,7/15/2024,9:31 AM,6:08 PM,Mark,Bautista
10020-45489,10020,7/16/2024,10:57 AM,7:05 PM,Mark,Bautista
10020-45490,10020,7/17/2024,10:06 AM,6:44 PM,Mark,Bautista
10020-45491,10020,7/18/2024,10:30 AM,9:17 PM,Mark,Bautista
10020-45492,10020,7/19/2024,9:51 AM,8:21 PM,Mark,Bautista
10020-45495,10020,7/22/2024,9:51 AM,5:37 PM,Mark,Bautista
10020-45496,10020,7/23/2024,9:05 AM,7:58 PM,Mark,Bautista
10020-45497,10020,7/24/2024,9:44 AM,5:51 PM,Mark,Bautista
10020-45498,10020,7/25/2024,10:33 AM,6:32 PM,Mark,Bautista
10020-45499,10020,7/26/2024,10:17 AM,7:27 PM,Mark,Bautista
10020-45502,10020,7/29/2024,10:00 AM,8:37 PM,Mark,Bautista
10020-45503,10020,7/30/2024,8:48 AM,5:40 PM,Mark,Bautista
10020-45504,10020,7/31/2024,10:24 AM,8:09 PM,Mark,Bautista
10020-45505,10020,8/1/2024,8:59 AM,4:26 PM,Mark,Bautista
10020-45506,10020,8/2/2024,10:43 AM,9:19 PM,Mark,Bautista
10020-45509,10020,8/5/2024,9:53 AM,4:58 PM,Mark,Bautista
10020-45510,10020,8/6/2024,8:24 AM,6:53 PM,Mark,Bautista
10020-45511,10020,8/7/2024,10:54 AM,6:19 PM,Mark,Bautista
10020-45512,10020,8/8/2024,8:52 AM,4:49 PM,Mark,Bautista
10020-45513,10020,8/9/2024,9:46 AM,8:08 PM,Mark,Bautista
10020-45516,10020,8/12/2024,8:44 AM,4:58 PM,Mark,Bautista
10020-45517,10020,8/13/2024,8:26 AM,5:59 PM,Mark,Bautista
10020-45518,10020,8/14/2024,10:58 AM,6:36 PM,Mark,Bautista
10020-45519,10020,8/15/2024,10:59 AM,7:15 PM,Mark,Bautista
10020-45520,10020,8/16/2024,8:47 AM,5:31 PM,Mark,Bautista
10020-45523,10020,8/19/2024,8:41 AM,3:59 PM,Mark,Bautista
10020-45524,10020,8/20/2024,8:55 AM,7:08 PM,Mark,Bautista
10020-45525,10020,8/21/2024,10:05 AM,8:16 PM,Mark,Bautista
10020-45526,10020,8/22/2024,10:27 AM,5:51 PM,Mark,Bautista
10020-45527,10020,8/23/2024,9:21 AM,6:16 PM,Mark,Bautista
10020-45530,10020,8/26/2024,8:30 AM,6:54 PM,Mark,Bautista
10020-45531,10020,8/27/2024,10:45 AM,8:35 PM,Mark,Bautista
10020-45532,10020,8/28/2024,10:17 AM,6:58 PM,Mark,Bautista
10020-45533,10020,8/29/2024,9:32 AM,4:55 PM,Mark,Bautista
10020-45534,10020,8/30/2024,10:14 AM,9:04 PM,Mark,Bautista
10020-45537,10020,9/2/2024,10:08 AM,5:21 PM,Mark,Bautista
10020-45538,10020,9/3/2024,10:37 AM,7:40 PM,Mark,Bautista
10020-45539,10020,9/4/2024,9:39 AM,4:44 PM,Mark,Bautista
10020-45540,10020,9/5/2024,8:27 AM,5:15 PM,Mark,Bautista
10020-45541,10020,9/6/2024,9:46 AM,8:20 PM,Mark,Bautista
10020-45544,10020,9/9/2024,10:13 AM,5:23 PM,Mark,Bautista
10020-45545,10020,9/10/2024,8:08 AM,6:59 PM,Mark,Bautista
10020-45546,10020,9/11/2024,8:55 AM,7:44 PM,Mark,Bautista
10020-45547,10020,9/12/2024,9:33 AM,5:07 PM,Mark,Bautista
10020-45548,10020,9/13/2024,9:26 AM,5:40 PM,Mark,Bautista
10020-45551,10020,9/16/2024,8:26 AM,7:20 PM,Mark,Bautista
10020-45552,10020,9/17/2024,8:16 AM,3:25 PM,Mark,Bautista
10020-45553,10020,9/18/2024,9:15 AM,7:47 PM,Mark,Bautista
10020-45554,10020,9/19/2024,8:33 AM,7:06 PM,Mark,Bautista
10020-45555,10020,9/20/2024,10:55 AM,7:35 PM,Mark,Bautista
10020-45558,10020,9/23/2024,9:51 AM,8:45 PM,Mark,Bautista
10020-45559,10020,9/24/2024,10:00 AM,7:07 PM,Mark,Bautista
10020-45560,10020,9/25/2024,8:52 AM,6:13 PM,Mark,Bautista
10020-45561,10020,9/26/2024,10:21 AM,6:17 PM,Mark,Bautista
10020-45562,10020,9/27/2024,8:24 AM,3:39 PM,Mark,Bautista
10020-45565,10020,9/30/2024,8:41 AM,6:06 PM,Mark,Bautista
10020-45566,10020,10/1/2024,9:33 AM,5:09 PM,Mark,Bautista
10020-45567,10020,10/2/2024,10:44 AM,6:01 PM,Mark,Bautista
10020-45568,10020,10/3/2024,9:47 AM,7:27 PM,Mark,Bautista
10020-45569,10020,10/4/2024,9:09 AM,5:45 PM,Mark,Bautista
