Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10016-45446,10016,6/3/2024,8:41 AM,4:45 PM,Christian,Mata
10016-45447,10016,6/4/2024,10:15 AM,6:12 PM,Christian,Mata
10016-45448,10016,6/5/2024,9:29 AM,7:25 PM,Christian,Mata
10016-45449,10016,6/6/2024,9:11 AM,6:56 PM,Christian,Mata
10016-45450,10016,6/7/2024,9:41 AM,4:51 PM,Christian,Mata
10016-45453,10016,6/10/2024,9:58 AM,8:46 PM,Christian,Mata
10016-45454,10016,6/11/2024,9:10 AM,4:26 PM,Christian,Mata
10016-45455,10016,6/12/2024,10:38 AM,8:53 PM,Christian,Mata
10016-45456,10016,6/13/2024,8:48 AM,4:16 PM,Christian,Mata
10016-45457,10016,6/14/2024,8:23 AM,4:51 PM,Christian,Mata
10016-45460,10016,6/17/2024,10:01 AM,7:45 PM,Christian,Mata
10016-45461,10016,6/18/2024,9:48 AM,8:06 PM,Christian,Mata
10016-45462,10016,6/19/2024,8:14 AM,7:12 PM,Christian,Mata
10016-45463,10016,6/20/2024,8:00 AM,6:02 PM,Christian,Mata
10016-45464,10016,6/21/2024,9:16 AM,4:41 PM,Christian,Mata
10016-45467,10016,6/24/2024,9:56 AM,5:33 PM,Christian,Mata
10016-45468,10016,6/25/2024,9:34 AM,8:15 PM,Christian,Mata
10016-45469,10016,6/26/2024,8:04 AM,6:36 PM,Christian,Mata
10016-45470,10016,6/27/2024,8:41 AM,5:37 PM,Christian,Mata
10016-45471,10016,6/28/2024,9:41 AM,6:43 PM,Christian,Mata
10016-45474,10016,7/1/2024,10:50 AM,8:26 PM,Christian,Mata
10016-45475,10016,7/2/2024,9:52 AM,5:36 PM,Christian,Mata
10016-45476,10016,7/3/2024,10:22 AM,7:15 PM,Christian,Mata
10016-45477,10016,7/4/2024,10:30 AM,8:02 PM,Christian,Mata
10016-45478,10016,7/5/2024,9:57 AM,6:18 PM,Christian,Mata
10016-45481,10016,7/8/2024,9:44 AM,5:38 PM,Christian,Mata
10016-45482,10016,7/9/2024,9:34 AM,8:25 PM,Christian,Mata
10016-45483,10016,7/10/2024,9:19 AM,6:07 PM,Christian,Mata
10016-45484,10016,7/11/2024,9:42 AM,5:16 PM,Christian,Mata
10016-45485,10016,7/12/2024,9:45 AM,7:39 PM,Christian,Mata
10016-45488,10016,7/15/2024,10:15 AM,7:54 PM,Christian,Mata
10016-45489,10016,7/16/2024,9:21 AM,5:31 PM,Christian,Mata
10016-45490,10016,7/17/2024,10:02 AM,8:22 PM,Christian,Mata
10016-45491,10016,7/18/2024,10:45 AM,8:41 PM,Christian,Mata
10016-45492,10016,7/19/2024,8:49 AM,6:09 PM,Christian,Mata
10016-45495,10016,7/22/2024,8:47 AM,5:16 PM,Christian,Mata
