Leave_ID,Employee #,Date,Start_Time,End_Time,First Name,Last Name,Status,Reviewed_By,Reviewed_At,Decision_Note
10034-45326,10034,2/4/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45329,10034,2/7/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45357,10034,3/6/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45366,10034,3/15/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45386,10034,4/4/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45438,10034,5/26/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45448,10034,6/5/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45632,10034,12/6/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-45653,10034,12/27/2024,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,,,
10034-46090-0800,10034,3/9/2026,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,10004,2026-03-11T01:04:58.960602,Approved
10034-46092-0800-DCBB,10034,3/11/2026,8:00 AM,5:00 PM,Beatriz,Santos,REJECTED,10004,2026-03-11T01:04:51.586644,Reject
10034-46092-0800-7459,10034,3/11/2026,8:00 AM,5:00 PM,Beatriz,Santos,APPROVED,10004,2026-03-11T01:06:41.277713,
