Leave_ID,Employee #,Date,Start_Time,End_Time,First Name,Last Name,Status,Reviewed_By,Reviewed_At,Decision_Note
10018-45313,10018,1/22/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45342,10018,2/20/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45368,10018,3/17/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45394,10018,4/12/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45552,10018,9/17/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45604,10018,11/8/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45640,10018,12/14/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45641,10018,12/15/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-45646,10018,12/20/2024,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,,,
10018-46090-0800,10018,3/9/2026,8:00 AM,5:00 PM,Allison,San Jose,APPROVED,10016,2026-03-08T09:58:53.375548300,
