Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10001-45446,10001,6/3/2024,8:59 AM,6:31 PM,Manuel III,Garcia
10001-45447,10001,6/4/2024,9:47 AM,7:07 PM,Manuel III,Garcia
10001-45448,10001,6/5/2024,10:57 AM,9:32 PM,Manuel III,Garcia
10001-45449,10001,6/6/2024,9:32 AM,7:15 PM,Manuel III,Garcia
10001-45450,10001,6/7/2024,9:46 AM,7:15 PM,Manuel III,Garcia
10001-45453,10001,6/10/2024,9:10 AM,6:36 PM,Manuel III,Garcia
10001-45454,10001,6/11/2024,10:30 AM,8:53 PM,Manuel III,Garcia
10001-45455,10001,6/12/2024,8:37 AM,6:25 PM,Manuel III,Garcia
10001-45456,10001,6/13/2024,8:24 AM,7:20 PM,Manuel III,Garcia
10001-45457,10001,6/14/2024,9:28 AM,7:24 PM,Manuel III,Garcia
10001-45460,10001,6/17/2024,9:07 AM,7:10 PM,Manuel III,Garcia
10001-45461,10001,6/18/2024,8:32 AM,6:35 PM,Manuel III,Garcia
10001-45462,10001,6/19/2024,9:05 AM,6:30 PM,Manuel III,Garcia
10001-45463,10001,6/20/2024,9:07 AM,8:01 PM,Manuel III,Garcia
10001-45464,10001,6/21/2024,8:19 AM,3:24 PM,Manuel III,Garcia
10001-45467,10001,6/24/2024,10:26 AM,7:43 PM,Manuel III,Garcia
10001-45468,10001,6/25/2024,9:52 AM,5:12 PM,Manuel III,Garcia
10001-45469,10001,6/26/2024,8:23 AM,6:51 PM,Manuel III,Garcia
10001-45470,10001,6/27/2024,8:46 AM,4:09 PM,Manuel III,Garcia
10001-45471,10001,6/28/2024,9:07 AM,6:28 PM,Manuel III,Garcia
10001-45474,10001,7/1/2024,9:15 AM,7:17 PM,Manuel III,Garcia
10001-45475,10001,7/2/2024,9:33 AM,7:06 PM,Manuel III,Garcia
10001-45476,10001,7/3/2024,10:43 AM,7:29 PM,Manuel III,Garcia
10001-45477,10001,7/4/2024,8:15 AM,6:26 PM,Manuel III,Garcia
10001-45478,10001,7/5/2024,8:00 AM,4:29 PM,Manuel III,Garcia
10001-45481,10001,7/8/2024,8:32 AM,4:59 PM,Manuel III,Garcia
10001-45482,10001,7/9/2024,9:46 AM,6:46 PM,Manuel III,Garcia
10001-45483,10001,7/10/2024,9:02 AM,5:37 PM,Manuel III,Garcia
10001-45484,10001,7/11/2024,10:57 AM,9:16 PM,Manuel III,Garcia
10001-45485,10001,7/12/2024,8:48 AM,5:32 PM,Manuel III,Garcia
10001-45488,10001,7/15/2024,10:02 AM,8:52 PM,Manuel III,Garcia
10001-45489,10001,7/16/2024,9:52 AM,7:24 PM,Manuel III,Garcia
