Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10027-45446,10027,6/3/2024,9:05 AM,7:14 PM,Garfield,Manalaysay
10027-45447,10027,6/4/2024,10:47 AM,8:39 PM,Garfield,Manalaysay
10027-45448,10027,6/5/2024,8:57 AM,5:35 PM,Garfield,Manalaysay
10027-45449,10027,6/6/2024,9:01 AM,6:33 PM,Garfield,Manalaysay
10027-45450,10027,6/7/2024,9:36 AM,5:22 PM,Garfield,Manalaysay
10027-45453,10027,6/10/2024,8:06 AM,3:36 PM,Garfield,Manalaysay
10027-45454,10027,6/11/2024,10:18 AM,7:33 PM,Garfield,Manalaysay
10027-45455,10027,6/12/2024,9:15 AM,4:57 PM,Garfield,Manalaysay
10027-45456,10027,6/13/2024,8:44 AM,7:30 PM,Garfield,Manalaysay
10027-45457,10027,6/14/2024,10:59 AM,7:33 PM,Garfield,Manalaysay
10027-45460,10027,6/17/2024,9:44 AM,8:40 PM,Garfield,Manalaysay
10027-45461,10027,6/18/2024,10:11 AM,7:05 PM,Garfield,Manalaysay
10027-45462,10027,6/19/2024,9:32 AM,4:44 PM,Garfield,Manalaysay
10027-45463,10027,6/20/2024,9:25 AM,6:34 PM,Garfield,Manalaysay
10027-45464,10027,6/21/2024,9:24 AM,7:38 PM,Garfield,Manalaysay
10027-45467,10027,6/24/2024,8:04 AM,6:05 PM,Garfield,Manalaysay
10027-45468,10027,6/25/2024,9:31 AM,6:11 PM,Garfield,Manalaysay
10027-45469,10027,6/26/2024,9:45 AM,6:28 PM,Garfield,Manalaysay
10027-45470,10027,6/27/2024,8:11 AM,5:09 PM,Garfield,Manalaysay
10027-45471,10027,6/28/2024,10:00 AM,8:47 PM,Garfield,Manalaysay
10027-45474,10027,7/1/2024,9:49 AM,6:23 PM,Garfield,Manalaysay
10027-45475,10027,7/2/2024,9:05 AM,7:54 PM,Garfield,Manalaysay
10027-45476,10027,7/3/2024,10:36 AM,8:51 PM,Garfield,Manalaysay
10027-45477,10027,7/4/2024,9:31 AM,8:11 PM,Garfield,Manalaysay
10027-45478,10027,7/5/2024,9:39 AM,4:43 PM,Garfield,Manalaysay
10027-45481,10027,7/8/2024,9:36 AM,8:15 PM,Garfield,Manalaysay
10027-45482,10027,7/9/2024,9:39 AM,7:46 PM,Garfield,Manalaysay
10027-45483,10027,7/10/2024,9:31 AM,5:39 PM,Garfield,Manalaysay
10027-45484,10027,7/11/2024,9:04 AM,4:11 PM,Garfield,Manalaysay
10027-45485,10027,7/12/2024,10:28 AM,9:23 PM,Garfield,Manalaysay
10027-45488,10027,7/15/2024,9:32 AM,6:47 PM,Garfield,Manalaysay
10027-45489,10027,7/16/2024,9:04 AM,7:09 PM,Garfield,Manalaysay
10027-45490,10027,7/17/2024,10:01 AM,5:07 PM,Garfield,Manalaysay
10027-45491,10027,7/18/2024,10:58 AM,6:08 PM,Garfield,Manalaysay
10027-45492,10027,7/19/2024,10:45 AM,6:18 PM,Garfield,Manalaysay
10027-45495,10027,7/22/2024,8:49 AM,7:12 PM,Garfield,Manalaysay
10027-45496,10027,7/23/2024,10:34 AM,8:00 PM,Garfield,Manalaysay
10027-45497,10027,7/24/2024,8:12 AM,6:38 PM,Garfield,Manalaysay
10027-45498,10027,7/25/2024,10:58 AM,8:20 PM,Garfield,Manalaysay
10027-45499,10027,7/26/2024,10:15 AM,5:16 PM,Garfield,Manalaysay
10027-45502,10027,7/29/2024,9:43 AM,5:25 PM,Garfield,Manalaysay
10027-45503,10027,7/30/2024,9:10 AM,4:28 PM,Garfield,Manalaysay
10027-45504,10027,7/31/2024,10:27 AM,7:03 PM,Garfield,Manalaysay
10027-45505,10027,8/1/2024,9:20 AM,7:51 PM,Garfield,Manalaysay
10027-45506,10027,8/2/2024,9:18 AM,6:14 PM,Garfield,Manalaysay
10027-45509,10027,8/5/2024,8:44 AM,6:22 PM,Garfield,Manalaysay
10027-45510,10027,8/6/2024,9:08 AM,4:43 PM,Garfield,Manalaysay
10027-45511,10027,8/7/2024,10:38 AM,6:39 PM,Garfield,Manalaysay
10027-45512,10027,8/8/2024,9:23 AM,7:49 PM,Garfield,Manalaysay
10027-45513,10027,8/9/2024,9:31 AM,4:35 PM,Garfield,Manalaysay
10027-45516,10027,8/12/2024,9:06 AM,6:23 PM,Garfield,Manalaysay
10027-45517,10027,8/13/2024,9:05 AM,7:07 PM,Garfield,Manalaysay
10027-45518,10027,8/14/2024,9:31 AM,4:40 PM,Garfield,Manalaysay
10027-45519,10027,8/15/2024,8:09 AM,3:25 PM,Garfield,Manalaysay
10027-45520,10027,8/16/2024,9:06 AM,4:38 PM,Garfield,Manalaysay
