Attendance_ID,Employee #,Date,Log In,Log Out,First Name,Last Name
10031-45446,10031,6/3/2024,10:07 AM,8:51 PM,Delia,Aguilar
10031-45447,10031,6/4/2024,10:13 AM,5:52 PM,Delia,Aguilar
10031-45448,10031,6/5/2024,9:24 AM,6:09 PM,Delia,Aguilar
10031-45449,10031,6/6/2024,9:23 AM,4:24 PM,Delia,Aguilar
10031-45450,10031,6/7/2024,9:18 AM,6:25 PM,Delia,Aguilar
10031-45453,10031,6/10/2024,10:24 AM,8:26 PM,Delia,Aguilar
10031-45454,10031,6/11/2024,9:04 AM,5:38 PM,Delia,Aguilar
10031-45455,10031,6/12/2024,9:36 AM,8:16 PM,Delia,Aguilar
10031-45456,10031,6/13/2024,8:20 AM,5:02 PM,Delia,Aguilar
10031-45457,10031,6/14/2024,10:28 AM,9:27 PM,Delia,Aguilar
10031-45460,10031,6/17/2024,8:15 AM,6:19 PM,Delia,Aguilar
10031-45461,10031,6/18/2024,8:43 AM,7:22 PM,Delia,Aguilar
10031-45462,10031,6/19/2024,9:09 AM,4:13 PM,Delia,Aguilar
10031-45463,10031,6/20/2024,8:19 AM,5:41 PM,Delia,Aguilar
10031-45464,10031,6/21/2024,8:24 AM,6:09 PM,Delia,Aguilar
10031-45467,10031,6/24/2024,8:21 AM,6:27 PM,Delia,Aguilar
10031-45468,10031,6/25/2024,10:29 AM,5:59 PM,Delia,Aguilar
10031-45469,10031,6/26/2024,8:45 AM,3:51 PM,Delia,Aguilar
10031-45470,10031,6/27/2024,10:38 AM,8:20 PM,Delia,Aguilar
10031-45471,10031,6/28/2024,9:29 AM,8:07 PM,Delia,Aguilar
10031-45474,10031,7/1/2024,8:40 AM,7:00 PM,Delia,Aguilar
10031-45475,10031,7/2/2024,10:44 AM,6:23 PM,Delia,Aguilar
10031-45476,10031,7/3/2024,9:32 AM,5:25 PM,Delia,Aguilar
10031-45477,10031,7/4/2024,10:20 AM,6:17 PM,Delia,Aguilar
10031-45478,10031,7/5/2024,8:39 AM,6:48 PM,Delia,Aguilar
10031-45481,10031,7/8/2024,10:12 AM,6:28 PM,Delia,Aguilar
10031-45482,10031,7/9/2024,10:54 AM,6:18 PM,Delia,Aguilar
10031-45483,10031,7/10/2024,9:28 AM,7:43 PM,Delia,Aguilar
10031-45484,10031,7/11/2024,8:35 AM,7:04 PM,Delia,Aguilar
10031-45485,10031,7/12/2024,9:27 AM,5:39 PM,Delia,Aguilar
10031-45488,10031,7/15/2024,9:31 AM,5:32 PM,Delia,Aguilar
10031-45489,10031,7/16/2024,10:53 AM,6:23 PM,Delia,Aguilar
10031-45490,10031,7/17/2024,8:51 AM,5:42 PM,Delia,Aguilar
10031-45491,10031,7/18/2024,9:37 AM,6:31 PM,Delia,Aguilar
10031-45492,10031,7/19/2024,9:01 AM,4:55 PM,Delia,Aguilar
10031-45495,10031,7/22/2024,9:36 AM,6:27 PM,Delia,Aguilar
10031-45496,10031,7/23/2024,8:54 AM,6:33 PM,Delia,Aguilar
10031-45497,10031,7/24/2024,8:49 AM,3:57 PM,Delia,Aguilar
10031-45498,10031,7/25/2024,8:42 AM,7:18 PM,Delia,Aguilar
10031-45499,10031,7/26/2024,10:42 AM,6:08 PM,Delia,Aguilar
10031-45502,10031,7/29/2024,8:30 AM,5:56 PM,Delia,Aguilar
10031-45503,10031,7/30/2024,10:53 AM,7:11 PM,Delia,Aguilar
10031-45504,10031,7/31/2024,8:43 AM,4:39 PM,Delia,Aguilar
10031-45505,10031,8/1/2024,9:15 AM,6:22 PM,Delia,Aguilar
10031-45506,10031,8/2/2024,10:49 AM,8:18 PM,Delia,Aguilar
10031-45509,10031,8/5/2024,10:20 AM,8:02 PM,Delia,Aguilar
10031-45510,10031,8/6/2024,10:11 AM,9:05 PM,Delia,Aguilar
10031-45511,10031,8/7/2024,9:51 AM,5:54 PM,Delia,Aguilar
10031-45512,10031,8/8/2024,8:37 AM,7:02 PM,Delia,Aguilar
10031-45513,10031,8/9/2024,8:29 AM,4:17 PM,Delia,Aguilar
10031-45516,10031,8/12/2024,9:59 AM,6:12 PM,Delia,Aguilar
10031-45517,10031,8/13/2024,9:15 AM,6:15 PM,Delia,Aguilar
10031-45518,10031,8/14/2024,9:55 AM,6:12 PM,Delia,Aguilar
10031-45519,10031,8/15/2024,9:13 AM,6:42 PM,Delia,Aguilar
10031-45520,10031,8/16/2024,10:25 AM,7:18 PM,Delia,Aguilar
10031-45523,10031,8/19/2024,9:26 AM,6:42 PM,Delia,Aguilar
10031-45524,10031,8/20/2024,8:41 AM,5:26 PM,Delia,Aguilar
10031-45525,10031,8/21/2024,10:30 AM,8:13 PM,Delia,Aguilar
10031-45526,10031,8/22/2024,9:11 AM,7:17 PM,Delia,Aguilar
10031-45527,10031,8/23/2024,10:44 AM,7:03 PM,Delia,Aguilar
10031-45530,10031,8/26/2024,8:39 AM,7:14 PM,Delia,Aguilar
10031-45531,10031,8/27/2024,8:16 AM,7:02 PM,Delia,Aguilar
10031-45532,10031,8/28/2024,9:24 AM,8:20 PM,Delia,Aguilar
10031-45533,10031,8/29/2024,9:14 AM,7:09 PM,Delia,Aguilar
10031-45534,10031,8/30/2024,8:51 AM,7:48 PM,Delia,Aguilar
10031-45537,10031,9/2/2024,10:41 AM,8:50 PM,Delia,Aguilar
10031-45538,10031,9/3/2024,8:42 AM,7:00 PM,Delia,Aguilar
10031-45539,10031,9/4/2024,10:50 AM,7:21 PM,Delia,Aguilar
10031-45540,10031,9/5/2024,9:46 AM,4:46 PM,Delia,Aguilar
10031-45541,10031,9/6/2024,10:59 AM,6:01 PM,Delia,Aguilar
10031-45544,10031,9/9/2024,8:03 AM,5:21 PM,Delia,Aguilar
